,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,emi_per_month,price,zero_downpayment
914,Tata ALTROZ,Tata,XZ PLUS I-TURBO PETROL,2021,Manual,"24,479",2nd,PetrolKA-28,"₹17,530/month","₹9,21,000","₹18,006/month"
915,Renault Duster,Renault,RXZ,2020,Manual,"11,172",1st,PetrolKA-03,"₹21,432/month","₹11,26,000","₹22,014/month"
916,HONDA JAZZ,HONDA,1.2L I-VTEC V,2017,Manual,"45,931",1st,PetrolKA-01,"₹12,786/month","₹6,54,000",Zero Down Payment
917,Tata NEXON,Tata,XZA PLUS PETROL,2019,Automatic,"44,684",1st,PetrolKA-05,"₹19,243/month","₹10,11,000","₹19,765/month"
918,Maruti Alto K10,Maruti,VXI,2011,Manual,"68,730",2nd,PetrolKA-53,"₹5,083/month","₹2,60,000",Zero Down Payment
919,Maruti SWIFT,Maruti,VXI,2018,Manual,"31,673",1st,PetrolKA-53,"₹13,294/month","₹6,80,000",Zero Down Payment
920,Renault Captur,Renault,1.5 RXL MT,2018,Manual,"99,952",1st,DieselKA-02,"₹13,724/month","₹7,02,000",Zero Down Payment
921,Maruti Baleno,Maruti,ZETA PETROL 1.2,2017,Manual,"20,533",2nd,PetrolKA-03,"₹13,861/month","₹7,09,000",Zero Down Payment
922,HONDA CITY,HONDA,1.5L I-VTEC VX CVT,2017,Automatic,"49,038",1st,PetrolKA-01,"₹18,368/month","₹9,65,000","₹18,866/month"
923,Toyota YARIS,Toyota,VX CVT,2020,Automatic,"7,316",2nd,PetrolKA-42,"₹23,755/month","₹12,48,000","₹24,399/month"
924,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT,2017,Manual,"32,317",1st,PetrolKA-04,"₹12,336/month","₹6,31,000",Zero Down Payment
925,Maruti Alto 800,Maruti,LXI,2012,Manual,"55,429",2nd,PetrolKA-51,"₹5,161/month","₹2,64,000",Zero Down Payment
926,Maruti CIAZ,Maruti,ZETA 1.5 SHVS MT PETROL,2018,Manual,"45,621",1st,PetrolKA-03,"₹17,226/month","₹9,05,000","₹17,693/month"
927,Toyota YARIS,Toyota,J MT,2019,Manual,"13,884",2nd,PetrolKA-51,"₹16,503/month","₹8,67,000","₹16,950/month"
928,Tata ALTROZ,Tata,XZ PETROL,2020,Manual,"22,142",1st,PetrolKA-50,"₹15,741/month","₹8,27,000","₹16,168/month"
929,Maruti Wagon R 1.0,Maruti,VXI,2015,Manual,"58,132",1st,PetrolKA-41,"₹8,289/month","₹4,24,000",Zero Down Payment
930,Maruti Swift,Maruti,ZXI,2022,Manual,"9,999",1st,PetrolKA-03,"₹15,817/month","₹8,31,000","₹16,246/month"
931,Maruti Baleno,Maruti,DELTA PETROL 1.2,2020,Manual,"60,058",1st,PetrolKA-03,"₹14,037/month","₹7,18,000",Zero Down Payment
932,Maruti Baleno,Maruti,LPHA CVT PETROL 1.2,2017,Automatic,"41,500",2nd,PetrolKA-05,"₹15,562/month","₹7,96,000",Zero Down Payment
933,HYUNDAI VERNA,HYUNDAI,1.6 VTVT SX AT,2016,Automatic,"34,108",1st,PetrolKA-04,"₹16,065/month","₹8,44,000","₹16,500/month"
934,Maruti BALENO,Maruti,LPHA CVT PETROL 1.2,2019,Automatic,"52,645",1st,PetrolKA-02,"₹16,103/month","₹8,46,000","₹16,539/month"
935,Honda Brio,Honda,S MT,2015,Manual,"22,985",2nd,PetrolKA-05,"₹9,189/month","₹4,70,000",Zero Down Payment
936,Maruti Swift,Maruti,VXI AMT,2018,Automatic,"29,890",2nd,PetrolKA-03,"₹13,705/month","₹7,01,000",Zero Down Payment
937,Maruti New Wagon-R,Maruti,LXI CNG (O) 1.0,2022,Manual,"16,831",1st,CNGKA-04,"₹13,431/month","₹6,87,000",Zero Down Payment
938,Volkswagen TAIGUN,Volkswagen,GT PLUS 1.5 TSI DSG,2022,Automatic,"23,045",1st,PetrolKA-01,"₹36,279/month","₹19,06,000","₹37,263/month"
939,HYUNDAI ELITE I20,HYUNDAI,STA 1.2,2016,Manual,"35,097",2nd,PetrolKA-51,"₹13,216/month","₹6,76,000",Zero Down Payment
940,TOYOTA YARIS,TOYOTA,G CVT,2019,Automatic,"11,877",1st,PetrolKA-02,"₹19,681/month","₹10,34,000","₹20,215/month"
941,Volkswagen TAIGUN,Volkswagen,TOPLINE 1.0 TSI MT,2022,Manual,"5,356",1st,PetrolKA-03,"₹31,539/month","₹16,57,000","₹32,395/month"
942,TOYOTA YARIS,TOYOTA,G CVT,2018,Automatic,"17,132",2nd,PetrolKA-03,"₹15,951/month","₹8,38,000","₹16,383/month"
943,Honda Amaze,Honda,1.2L I-VTEC V CVT,2018,Automatic,"16,481",2nd,PetrolKA-53,"₹15,322/month","₹8,05,000","₹15,738/month"
944,Maruti Alto K10,Maruti,VXI (O) AMT,2018,Automatic,"33,800",1st,PetrolKA-01,"₹8,524/month","₹4,36,000",Zero Down Payment
945,Maruti Swift,Maruti,ZXI,2019,Manual,"47,296",1st,PetrolKA-01,"₹14,037/month","₹7,18,000",Zero Down Payment
946,Tata Harrier,Tata,XZA PLUS 2.0L,2021,Automatic,"27,190",2nd,DieselKA-01,"₹38,906/month","₹20,44,000","₹39,961/month"
947,Tata NEXON,Tata,XZ PLUS PETROL SUNROOF,2021,Manual,"12,823",1st,PetrolKA-01,"₹22,765/month","₹11,96,000","₹23,382/month"
948,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT,2019,Manual,"29,534",1st,PetrolKA-01,"₹13,372/month","₹6,84,000",Zero Down Payment
949,KIA SELTOS,KIA,GTX PLUS DCT 1.4 PETROL,2019,Automatic,"11,611",1st,PetrolKA-53,"₹34,813/month","₹18,29,000","₹35,757/month"
950,Maruti Swift,Maruti,VXI AMT,2018,Automatic,"56,410",1st,PetrolKA-50,"₹13,783/month","₹7,05,000",Zero Down Payment
951,TATA NEXON,TATA,XZA+ 1.5,2019,Automatic,"69,702",1st,DieselKA-12,"₹20,614/month","₹10,83,000","₹21,173/month"
952,Honda City,Honda,1.5L I-VTEC ZX CVT ANNIVERSARY EDITION,2018,Automatic,"9,209",2nd,PetrolKA-53,"₹23,279/month","₹12,23,000","₹23,910/month"
953,Tata TIAGO NRG,Tata,PETROL,2018,Manual,"10,552",2nd,PetrolKA-51,"₹11,085/month","₹5,67,000",Zero Down Payment
954,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE,2017,Manual,"39,503",2nd,DieselKA-03,"₹18,101/month","₹9,51,000","₹18,592/month"
955,Renault Duster,Renault,85 PS RXL PLUS DIESEL,2013,Manual,"51,322",1st,DieselKA-53,"₹11,984/month","₹6,13,000",Zero Down Payment
956,Maruti Celerio,Maruti,ZXI AMT (O),2017,Automatic,"55,602",1st,PetrolKA-04,"₹10,811/month","₹5,53,000",Zero Down Payment
957,Hyundai Verna,Hyundai,1.6 CRDI SX,2017,Manual,"60,988",1st,DieselKA-41,"₹19,929/month","₹10,47,000","₹20,469/month"
958,Ford Ecosport,Ford,TITANIUM 1.5L PETROL,2019,Manual,"11,540",1st,PetrolKA-04,"₹18,444/month","₹9,69,000","₹18,944/month"
959,TOYOTA YARIS,TOYOTA,J CVT,2020,Automatic,"8,828",1st,PetrolKA-51,"₹18,863/month","₹9,91,000","₹19,374/month"
960,TATA ALTROZ,TATA,XZ PLUS I-TURBO PETROL,2021,Manual,"29,494",1st,PetrolKA-03,"₹17,835/month","₹9,37,000","₹18,319/month"
961,Ford Ecosport,Ford,TITANIUM 1.5L PETROL AT,2016,Automatic,"86,116",1st,PetrolKA-02,"₹14,389/month","₹7,36,000",Zero Down Payment
962,Maruti Wagon R 1.0,Maruti,VXI,2015,Manual,"33,901",1st,PetrolKA-03,"₹8,446/month","₹4,32,000",Zero Down Payment
963,TATA NEXON,TATA,XM PETROL,2018,Manual,"43,817",1st,PetrolKA-03,"₹15,284/month","₹8,03,000","₹15,699/month"
964,HONDA CITY,HONDA,1.5L I-VTEC ZX CVT,2020,Automatic,"18,781",1st,PetrolKA-55,"₹25,087/month","₹13,18,000","₹25,767/month"
965,Maruti Alto 800,Maruti,LXI,2013,Manual,"73,065",1st,PetrolKA-04,"₹5,279/month","₹2,70,000",Zero Down Payment
966,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT,2014,Manual,"60,509",2nd,PetrolKA-05,"₹8,583/month","₹4,39,000",Zero Down Payment
967,Maruti Alto,Maruti,VXI PLUS,2021,Manual,"29,482",1st,PetrolKA-31,"₹8,641/month","₹4,42,000",Zero Down Payment
968,Hyundai Verna,Hyundai,SX (O) 1.5 VTVT IVT,2021,Automatic,"43,353",1st,PetrolKA-05,"₹27,447/month","₹14,42,000","₹28,191/month"
969,Hyundai GRAND I10 NIOS,Hyundai,SPORTZ U2 1.2 CRDI,2021,Manual,"17,647",1st,DieselKA-03,"₹16,940/month","₹8,90,000","₹17,400/month"
970,Maruti Swift,Maruti,VXI,2018,Manual,"29,333",1st,PetrolKA-04,"₹12,962/month","₹6,63,000",Zero Down Payment
971,TATA Harrier,TATA,XT PLUS 2.0L KRYOTEC,2021,Manual,"23,137",1st,DieselKA-04,"₹34,585/month","₹18,17,000","₹35,523/month"
972,Maruti Alto,Maruti,LXI,2012,Manual,"22,145",1st,PetrolKA-04,"₹5,337/month","₹2,73,000",Zero Down Payment
973,Hyundai Verna,Hyundai,1.6 VTVT SX (O) AT,2018,Automatic,"44,164",2nd,PetrolKA-20,"₹18,463/month","₹9,70,000","₹18,964/month"
