cars_name,cars_brand,model_year,kms,gasoliene_type,price
Honda Amaze,Honda,2013,59067,Petrol,443000
Honda City,Honda,2015,43250,Petrol,770000
Maruti Ciaz,Maruti,2016,69482,Petrol,657000
Maruti Baleno,Maruti,2021,19189,Petrol,880000
Maruti Swift,Maruti,2015,57616,Petrol,547000
Renault Kwid,Renault,2016,42752,Petrol,359000
Datsun Redi Go,Datsun,2016,60297,Petrol,286000
Renault Kwid,Renault,2017,28688,Petrol,405000
Maruti Vitara Brezza,Maruti,2016,25310,Diesel,921000
Tata Tiago,Tata,2018,27473,Petrol,551000
Hyundai Grand I10,Hyundai,2016,44147,Petrol,441000
Maruti Swift,Maruti,2014,64001,Petrol,519000
Renault Duster,Renault,2013,56442,Diesel,625000
Mahindra Xuv500,Mahindra,2015,95467,Diesel,962000
Toyota Glanza,Toyota,2021,38224,Petrol,801000
Maruti Wagon R 1.0,Maruti,2016,30297,Petrol,414000
Renault Duster,Renault,2017,59690,Diesel,816000
Maruti Swift,Maruti,2018,40512,Diesel,836000
Ford Freestyle,Ford,2018,19349,Petrol,670000
Hyundai Elite I20,Hyundai,2017,27575,Petrol,735000
Maruti S Presso,Maruti,2021,25028,CNG,539000
Hyundai Grand I10 Nios,Hyundai,2020,5706,Petrol,766000
Kia Seltos,Kia,2021,11672,Petrol,1856000
Maruti Dzire,Maruti,2017,69846,Petrol,655300
Tata Nexon,Tata,2018,60364,Diesel,907000
Honda Amaze,Honda,2018,23861,Petrol,693000
Hyundai Grand I10,Hyundai,2019,30525,Petrol,590000
Kia Seltos,Kia,2019,14855,Petrol,1266000
Tata Nexon,Tata,2018,48237,Petrol,860000
Maruti Ciaz,Maruti,2015,75642,Petrol,631000
Hyundai Grand I10,Hyundai,2015,35477,Petrol,515000
Maruti Ciaz,Maruti,2020,15790,Petrol,954000
Maruti Baleno,Maruti,2019,37274,Petrol,806000
Hyundai Venue,Hyundai,2021,27466,Petrol,854000
Toyota Yaris,Toyota,2021,20754,Petrol,1138000
Maruti Alto K10,Maruti,2018,89919,Petrol,346000
Volkswagen Vento,Volkswagen,2016,64173,Petrol,774000
Maruti Baleno,Maruti,2017,44498,Petrol,665000
Hyundai Aura,Hyundai,2020,13736,Petrol,739000
Hyundai Elite I20,Hyundai,2016,46369,Petrol,741000
Renault Duster,Renault,2018,18610,Petrol,921000
Hyundai New I20,Hyundai,2020,34579,Diesel,1189000
Hyundai Elite I20,Hyundai,2018,18356,Petrol,799000
Renault Kwid,Renault,2017,75862,Petrol,366000
Renault Kwid,Renault,2016,52180,Petrol,401000
Renault Kwid,Renault,2021,18707,Petrol,563000
Honda Wr-V,Honda,2017,80941,Petrol,724000
Ford Ecosport,Ford,2018,35369,Petrol,751000
Volkswagen Vento,Volkswagen,2016,51899,Petrol,772000
Honda Jazz,Honda,2016,46683,Petrol,604000
Ford New Figo,Ford,2020,15455,Petrol,640000
Volkswagen Vento,Volkswagen,2016,49345,Petrol,838000
Maruti Baleno,Maruti,2017,48775,Petrol,715000
Hyundai Venue,Hyundai,2020,45838,Petrol,853000
Maruti Baleno,Maruti,2018,35886,Petrol,672000
Hyundai Santro Xing,Hyundai,2011,70301,Petrol,286000
Renault Duster,Renault,2016,75545,Diesel,854000
Maruti New Wagon-R,Maruti,2022,8920,Petrol,744000
Honda Brio,Honda,2013,44323,Petrol,331000
Tata Altroz,Tata,2020,36549,Diesel,857000
Renault Kwid,Renault,2016,57825,Petrol,404000
Maruti Ciaz,Maruti,2016,50687,Petrol,709000
Maruti Alto K10,Maruti,2017,28914,Petrol,405000
Honda City,Honda,2014,50617,Petrol,606000
Maruti Swift,Maruti,2018,26634,Petrol,757000
Hyundai New Santro,Hyundai,2020,21991,Petrol,580000
Renault Kwid,Renault,2020,48540,Petrol,508000
Maruti S Cross,Maruti,2016,49726,Diesel,867000
Maruti Baleno,Maruti,2018,34376,Petrol,707000
Maruti Wagon R 1.0,Maruti,2013,60248,Petrol,323000
Honda City,Honda,2015,33745,Petrol,679000
Maruti Ignis,Maruti,2017,74643,Petrol,557000
Tata Tiago,Tata,2018,20196,Petrol,516000
Hyundai Verna,Hyundai,2017,57506,Petrol,808000
Hyundai Grand I10,Hyundai,2018,61598,Petrol,517000
Hyundai Elite I20,Hyundai,2017,55143,Petrol,628000
Maruti Swift Dzire,Maruti,2013,46749,Petrol,509000
Maruti Xl6,Maruti,2019,17878,Petrol,1166000
Tata Nexon,Tata,2019,67271,Diesel,933000
Maruti Dzire,Maruti,2018,33852,Petrol,771000
Hyundai Elite I20,Hyundai,2017,51181,Petrol,729000
Hyundai New I20,Hyundai,2021,13705,Petrol,893000
Maruti Swift,Maruti,2011,68042,Petrol,483000
Maruti Swift,Maruti,2021,55114,Petrol,747000
Nissan Magnite,Nissan,2022,2716,Petrol,1142000
Hyundai Creta,Hyundai,2016,67621,Petrol,913000
Renault Kwid,Renault,2019,4019,Petrol,475000
Renault Captur,Renault,2018,40592,Diesel,751000
Hyundai I10,Hyundai,2013,91279,Petrol,374000
Hyundai Santro Xing,Hyundai,2012,71036,Petrol,295000
Maruti S Cross,Maruti,2016,48266,Diesel,758000
Maruti Baleno,Maruti,2019,53627,Petrol,834000
Volkswagen Vento,Volkswagen,2016,90271,Diesel,719000
Maruti Swift,Maruti,2013,40611,Petrol,473000
Renault Kwid,Renault,2017,22097,Petrol,401000
Hyundai Grand I10,Hyundai,2015,71730,Petrol,437000
Mahindra Xuv500,Mahindra,2015,67077,Diesel,1046000
Maruti Dzire,Maruti,2017,75187,Diesel,774000
Toyota Yaris,Toyota,2020,22541,Petrol,1192000
Honda Amaze,Honda,2022,4331,Petrol,1027000
Volkswagen Tiguan,Volkswagen,2017,119427,Diesel,1777000
Ford Ecosport,Ford,2019,30149,Diesel,945000
Hyundai Creta,Hyundai,2020,15905,Petrol,1549000
Hyundai Grand I10,Hyundai,2017,12246,Petrol,516000
Maruti Swift Dzire,Maruti,2012,63285,Petrol,506000
Honda Wr-V,Honda,2017,93518,Diesel,790000
Hyundai I10,Hyundai,2016,36198,Petrol,429000
Datsun Redi Go,Datsun,2017,46031,Petrol,300000
Honda City,Honda,2018,60955,Petrol,1014000
Renault Kwid,Renault,2018,37166,Petrol,474000
Kia Seltos,Kia,2021,29225,Petrol,1248000
Hyundai Santro Xing,Hyundai,2014,77207,Petrol,326000
Tata Nexon,Tata,2018,27891,Petrol,869000
Renault Kwid,Renault,2021,14862,Petrol,561000
Kia Seltos,Kia,2022,2109,Petrol,1968000
Maruti Baleno,Maruti,2017,38218,Petrol,722000
Maruti Alto K10,Maruti,2017,16776,Petrol,410000
Maruti Swift,Maruti,2015,89731,Petrol,516000
Maruti Celerio,Maruti,2018,17111,Petrol,557000
Honda Jazz,Honda,2017,60442,Petrol,625000
Maruti S Cross,Maruti,2015,91260,Diesel,682000
Maruti Baleno,Maruti,2016,89774,Petrol,626000
Maruti Dzire,Maruti,2019,35146,Petrol,839000
Maruti Ciaz,Maruti,2016,55437,Petrol,702000
Maruti Ignis,Maruti,2018,35050,Petrol,508000
Honda City,Honda,2019,27022,Petrol,1199000
Hyundai Elite I20,Hyundai,2019,24929,Petrol,864000
Skoda Rapid,Skoda,2021,7129,Petrol,1016000
Renault Kiger,Renault,2021,13614,Petrol,883000
Maruti Swift,Maruti,2012,79876,Petrol,475000
Honda City,Honda,2018,66399,Petrol,957000
Hyundai Santro Xing,Hyundai,2011,46496,Petrol,274000
Skoda Rapid,Skoda,2016,56058,Diesel,793000
Honda City,Honda,2014,58549,Petrol,571000
Maruti Dzire,Maruti,2018,24083,Petrol,778000
Nissan Micra,Nissan,2017,31476,Petrol,567000
Honda Brio,Honda,2016,48613,Petrol,418000
Ford Freestyle,Ford,2020,24057,Petrol,745000
Ford Ecosport,Ford,2017,71869,Petrol,704000
Maruti Dzire,Maruti,2019,77387,Petrol,661000
Hyundai Eon,Hyundai,2015,48131,Petrol,314000
Renault Kiger,Renault,2021,8434,Petrol,828000
Hyundai Elite I20,Hyundai,2017,40674,Petrol,673000
Maruti Swift,Maruti,2013,66923,Petrol,495600
Maruti Ciaz,Maruti,2016,63537,Petrol,713000
Maruti Alto 800,Maruti,2016,19079,Petrol,316000
Hyundai Grand I10,Hyundai,2019,11731,Petrol,644000
Renault Duster,Renault,2017,33048,Petrol,783000
Maruti Swift,Maruti,2018,26007,Petrol,724000
Hyundai Xcent,Hyundai,2018,27896,Petrol,672000
Mahindra Marazzo,Mahindra,2018,16097,Diesel,1225000
